Date,Open,High,Low,Close,Adj Close,Volume
2024-05-21,488.0,492.1499938964844,476.70001220703125,481.25,481.25,120129
2024-05-22,482.0,489.20001220703125,470.6000061035156,484.04998779296875,484.04998779296875,86462
2024-05-23,486.0,499.0,482.54998779296875,484.1499938964844,484.1499938964844,100856
2024-05-24,480.25,489.3999938964844,473.1000061035156,475.0,475.0,392602
2024-05-27,476.75,498.0,465.0,468.29998779296875,468.29998779296875,876375
2024-05-28,469.95001220703125,482.8999938964844,468.0,477.04998779296875,477.04998779296875,124149
2024-05-29,476.0,487.95001220703125,473.0,480.29998779296875,480.29998779296875,101502
2024-05-30,483.25,489.6000061035156,470.1000061035156,473.1000061035156,473.1000061035156,76608
2024-05-31,479.8500061035156,479.8500061035156,468.0,469.95001220703125,469.95001220703125,65055
2024-06-03,472.0,495.0,472.0,489.8500061035156,489.8500061035156,139405
2024-06-04,492.0,495.0,441.8500061035156,465.29998779296875,465.29998779296875,136324
2024-06-05,463.0,481.54998779296875,457.25,477.04998779296875,477.04998779296875,126300
2024-06-06,483.0,495.0,478.04998779296875,484.3999938964844,484.3999938964844,92943
2024-06-07,491.6499938964844,494.3500061035156,479.0,491.20001220703125,491.20001220703125,88812
2024-06-10,495.95001220703125,563.7000122070312,402.79998779296875,544.7999877929688,544.7999877929688,4011275
2024-06-11,544.7999877929688,548.9500122070312,528.5999755859375,538.0999755859375,538.0999755859375,408271
2024-06-12,532.0,536.3499755859375,525.0,529.75,529.75,208740
2024-06-13,527.4000244140625,574.4000244140625,527.4000244140625,555.8499755859375,555.8499755859375,1628263
2024-06-14,562.75,633.9000244140625,562.75,621.5,621.5,6606156
2024-06-18,623.5499877929688,623.6500244140625,591.0499877929688,592.7999877929688,592.7999877929688,806623
